from,to,line,7_in,7_out,8_in,8_out
명동,회현(남대문시장),4,7436,57963,12179,178130
회현(남대문시장),서울역,4,87948,200290,157041,432584
서울역,숙대입구(갈월),4,20509,26436,32323,70708
숙대입구(갈월),삼각지,4,14299,24755,22103,56992
삼각지,신용산,4,12253,33470,18858,107626
신용산,이촌(국립중앙박물관),4,25428,20731,34767,39755
이촌(국립중앙박물관),동작(현충원),4,11244,6071,15561,12656
동작(현충원),총신대입구(이수),4,54564,20915,75615,47807
총신대입구(이수),사당,4,163972,91750,222693,134067
사당,남태령,4,3482,4506,5265,6134
남태령,선바위,4,24193,24501,30741,28959
선바위,경마공원,4,2267,6393,3423,17920
경마공원,대공원,4,1093,9417,1375,35794
대공원,과천,4,21261,4575,21741,9404
과천,정부과천청사,4,20306,26761,19723,76756
정부과천청사,인덕원,4,93685,32469,88248,113860
인덕원,평촌,4,68581,31346,59202,84880
평촌,범계,4,105894,26612,97379,69339
범계,금정,4,96848,43991,99912,89127
금정,산본,4,68343,16523,64528,35392
산본,수리산,4,22594,4160,21429,6994
수리산,대야미,4,19351,5419,21471,9219
대야미,반월,4,18724,4820,20243,8970
반월,상록수,4,91498,19122,88567,33356
상록수,한대앞,4,33051,8668,29359,22369
한대앞,중앙,4,56098,17915,48466,40038
중앙,고잔,4,32989,12956,25120,29469
고잔,초지,4,18918,10461,15980,15824
초지,안산,4,29012,44046,30924,38250
안산,신길온천,4,8426,4034,7508,2719
신길온천,정왕,4,19801,25807,18107,34580
정왕,오이도,4,45015,16039,39085,19135
방화,개화산,5,24389,7230,22182,19161
개화산,김포공항,5,27136,63092,39285,69762
김포공항,송정,5,26598,9229,27953,16933
송정,마곡,5,25603,9400,25513,27758
마곡,발산,5,32178,31455,32941,101815
발산,우장산,5,66189,21085,70062,28981
우장산,화곡,5,131990,15573,169927,33141
화곡,까치산,5,148476,13453,175569,24335
까치산,신정(은행정),5,69188,9817,87708,15165
신정(은행정),목동,5,70013,18803,88225,33828
목동,오목교(목동운동장앞),5,56714,26363,68644,82982
오목교(목동운동장앞),양평,5,34920,13115,36328,47591
양평,영등포구청,5,55387,39642,67638,151238
영등포구청,영등포시장,5,19239,13879,28490,40177
영등포시장,신길,5,38272,24318,56514,51210
신길,여의도,5,21355,246417,29358,401281
여의도,여의나루,5,5900,30764,10379,64865
여의나루,마포,5,27946,22360,42150,77382
마포,공덕,5,57816,76236,83563,240009
공덕,애오개,5,21067,10109,30371,33139
애오개,충정로(경기대입구)(경기대입구),5,,,,
