from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
압구정로데오,강남구청,분당선,12044,46159,16592,150890,65704,27331,125883,33004,69676,20789,40602,12351
강남구청,선정릉,분당선,12081,29108,14803,101411,46800,17102,89690,21424,47016,15570,22770,9277
선정릉,선릉,분당선,22934,143784,33451,376038,203669,56128,338654,61962,154066,37742,90135,21175
선릉,한티,분당선,17534,26699,20568,47779,37495,26603,41278,30804,25735,20830,27050,10784
한티,도곡,분당선,15002,24634,19868,43369,32342,15574,37785,21791,18952,17306,12206,9609
도곡,구룡,분당선,2460,4421,3606,5112,6154,2345,3539,3152,1665,2500,862,1514
구룡,개포동,분당선,7835,5061,8039,8963,9657,6261,8229,9238,4504,7500,3016,4064
개포동,대모산입구,분당선,7999,4488,8842,8088,8334,5018,6722,6564,3015,5483,1868,3384
대모산입구,수서,분당선,51932,54136,68826,87960,67427,52838,81929,77055,36931,56655,35219,34869
수서,복정,분당선,29547,12066,36303,18730,20036,18702,24681,32699,13336,23061,8138,13270
복정,가천대,분당선,16568,5168,22544,13788,11095,13802,10628,21395,5920,18266,3608,11823
가천대,태평,분당선,39101,8186,57657,17584,17868,30365,17270,42058,9177,31099,6994,22679
태평,모란,분당선,57325,25838,70467,39469,38938,45967,47332,66133,25937,47490,17642,31489
모란,야탑,분당선,47639,37367,56294,85979,53562,43582,75982,63749,33620,49601,24299,29114
야탑,이매,분당선,16402,9474,16313,15475,13059,11438,14833,16068,6931,12873,4702,7270
이매,서현,분당선,30001,37178,35105,71092,57966,42124,74603,55061,42501,40190,41905,21345
서현,수내,분당선,16160,16158,19306,50014,30893,19251,44943,24879,23232,19340,21824,10391
수내,정자,분당선,24207,33436,27690,66334,45195,27675,53425,41554,28104,31644,20353,17080
정자,미금,분당선,22982,20226,28782,40471,32675,27334,35987,37544,18009,29003,14552,18584
미금,오리,분당선,28184,13430,29296,32276,23340,14701,32527,23167,13149,19890,9720,12159
오리,죽전,분당선,38204,13808,33767,20689,22320,26049,26627,42347,16666,36796,20579,21231
죽전,보정,분당선,7211,2751,8359,4755,3528,3679,3789,6159,1615,5331,1110,3202
보정,구성,분당선,18663,4567,17508,7399,6097,10542,6591,17775,3254,16447,2524,9396
구성,신갈,분당선,16383,2251,15995,5633,4938,9439,4428,15010,2119,13208,1731,7942
신갈,기흥,분당선,32686,8039,31266,11973,13783,18473,16529,32899,8889,27632,6636,15737
기흥,상갈,분당선,17959,6585,17397,8577,8683,10342,10097,16228,5252,13697,3320,9116
상갈,청명,분당선,14895,4935,14919,7112,6698,7645,7503,13322,3175,10949,2341,6619
청명,영통,분당선,15059,8476,15947,20480,18023,15717,20886,22734,10675,16192,9573,9872
영통,망포,분당선,42107,22851,37044,39538,30500,19917,41863,37761,18415,36910,13101,21713
망포,매탄권선,분당선,17147,4724,16220,8902,8692,9338,7928,16337,4022,13877,2735,7920
