from,to,line,am7,am8,pm5,pm6,pm7,pm8
삼각지,녹사평(용산구청),6,-3967,-9422,3488,6352,2394,3798
녹사평(용산구청),이태원,6,-1328,-8380,3658,4924,2839,7611
이태원,한강진,6,-13466,-24444,12685,17283,13031,12523
한강진,버티고개,6,1207,1297,-375,-1492,-1868,-953
버티고개,약수,6,8833,-5738,777,-2365,-7438,-1394
약수,청구,6,2267,-16181,1909,9439,3145,1011
청구,신당,6,-1884,-19997,4070,-1638,-7666,1507
신당,동묘앞,6,-3549,-23197,18459,15434,2688,1337
동묘앞,창신,6,7361,8899,-1334,-4548,-4205,-2103
창신,보문,6,9024,6801,-204,-4851,-8022,-4671
보문,안암(고대병원앞),6,-7305,-19142,19361,10249,1048,2822
안암(고대병원앞),고려대(종암),6,8609,2057,3992,-4392,-8587,-4552
고려대(종암),월곡(동덕여대),6,26095,15832,-7078,-15170,-18206,-8176
월곡(동덕여대),상월곡(한국과학기술연구원),6,17489,13863,-4681,-9281,-9947,-6337
상월곡(한국과학기술연구원),돌곶이,6,24895,20760,-6690,-17058,-16453,-9668
돌곶이,석계,6,49868,52283,-24090,-59293,-47576,-23423
석계,태릉입구,6,23954,17982,-4490,-18910,-21956,-9443
태릉입구,화랑대(서울여대입구),6,45409,35108,-6588,-22309,-24020,-12107
화랑대(서울여대입구),봉화산(서울의료원),6,35355,21213,-7151,-18804,-21457,-11019
봉화산(서울의료원),신내,6,874,-1194,626,300,-1295,-596
장암,도봉산,7,51717,35313,-85,-18418,-31293,-17193
도봉산,수락산,7,37481,25101,-6103,-20483,-28652,-15054
수락산,마들,7,46518,39960,-13243,-31240,-36356,-16994
마들,노원,7,49197,16083,-18005,-48260,-48905,290
노원,중계,7,40793,34611,-9030,-26247,-32603,-16985
중계,하계,7,43172,39759,-7870,-31977,-36757,-17722
하계,공릉(서울과학기술대),7,21582,18127,-5555,-16184,-21498,-8250
공릉(서울과학기술대),태릉입구,7,23954,17982,-4490,-18910,-21956,-9443
태릉입구,먹골,7,26141,24711,-9102,-20085,-21709,-11065
먹골,중화,7,25536,21783,-7582,-18828,-20792,-11634
중화,상봉(시외버스터미널),7,46596,46583,-8563,-36009,-38968,-16304
상봉(시외버스터미널),면목,7,41586,42291,-14279,-32713,-31798,-17352
면목,사가정,7,36116,37929,-13330,-35311,-31661,-15347
사가정,용마산,7,0,0,0,0,0,0
용마산,중곡,7,18316,20797,-4706,-17574,-16007,-8730
중곡,군자(능동),7,42906,41814,-10250,-32055,-30918,-10269
군자(능동),어린이대공원(세종대),7,2161,-9482,11014,10232,-2252,-672
어린이대공원(세종대),건대입구,7,16933,12115,-1884,-36647,-20296,22434
건대입구,뚝섬유원지,7,12052,14023,-6244,-14392,-10095,-1650
뚝섬유원지,청담,7,-42944,-105878,40936,77349,37195,19277
청담,강남구청,7,-29817,-121084,37194,86570,48099,28751
강남구청,학동,7,-45127,-145116,52557,125309,54303,25459
학동,논현,7,-31545,-89724,30705,68929,37034,24609
논현,반포,7,-4650,-8640,6384,5763,4500,4440
반포,고속터미널,7,-44317,-62687,60011,38310,45044,94294
고속터미널,내방,7,-7553,-51064,16187,39468,5731,4820
내방,총신대입구(이수),7,22726,12250,-12420,-23558,-18410,-3046
총신대입구(이수),남성,7,25320,32917,-9137,-24110,-20089,-9494
남성,숭실대입구(살피재),7,23641,27984,-6878,-24802,-21556,-11274
숭실대입구(살피재),상도,7,20076,21599,-5946,-18653,-17116,-8326
상도,장승배기,7,16399,18649,-6446,-15892,-14312,-7387
장승배기,신대방삼거리,7,32470,37551,-10906,-28757,-28876,-14301
신대방삼거리,보라매,7,4678,-7768,665,3386,-9742,-3951
보라매,신풍,7,25057,26627,-9090,-21054,-18764,-9673
신풍,대림(구로구청),7,41966,32670,-18275,-20920,-23710,-17948
대림(구로구청),남구로,7,-2542,-54782,9813,38280,9942,2382
남구로,가산디지털단지,7,-122037,-439115,179366,331702,121715,61707
가산디지털단지,철산,7,51842,43959,-17402,-50010,-44129,-12190
철산,광명사거리,7,55527,56407,-18026,-48523,-39920,-18718
광명사거리,천왕,7,34447,40017,-10869,-31144,-28277,-14000
천왕,온수(성공회대입구),7,47001,46310,-11573,-38793,-34876,-18704
