호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
2호선,신당,23780,16899,37435,33195,25640,27762,30993,40006,19292,26042,13569,15574
2호선,신대방,82096,16903,119543,29403,30437,57612,36856,90928,20417,73935,14218,47248
2호선,신도림,117522,37025,120715,102011,79634,91542,113956,149324,61743,106347,49567,58214
2호선,신림,190957,32479,287068,60178,73966,132599,76786,234879,48236,194732,39938,114642
2호선,신설동,3143,5289,5592,11743,9741,4446,10041,5248,3915,3641,2408,2048
2호선,신정네거리,44091,5181,39179,11285,11566,24685,10605,44145,6452,33645,4728,16903
2호선,신촌(지하),30417,33269,42883,72717,77008,55951,77123,81377,50710,51456,50840,26334
2호선,아현,25492,10453,33679,18018,16414,20173,16426,30145,10096,22324,7058,13403
2호선,양천구청,28325,4620,25911,9274,7836,15341,7871,26734,3442,22867,2435,11958
2호선,역삼,13359,122292,21677,302578,170575,37149,255893,42221,127341,26699,68771,15736
2호선,영등포구청,35547,36175,42296,116702,51298,29802,98867,47643,33452,31211,22269,17673
2호선,왕십리(성동구청),22713,10990,39821,24719,29139,26666,32554,43422,18555,26339,17197,14655
2호선,용답,6751,1712,11539,2625,3541,5849,3400,9446,2101,6643,1425,3716
2호선,용두(동대문구청),4504,2575,7712,6502,4132,4194,5632,7501,2262,5064,1544,2408
2호선,을지로3가,4872,61528,8023,140217,70487,17947,120675,20181,45984,10341,28716,5260
2호선,을지로4가,2967,30865,5739,73284,45099,9024,66155,8699,28431,4505,13527,2604
2호선,을지로입구,7643,107800,12245,264615,125051,27224,219976,30288,84848,16506,72845,8932
2호선,이대,21435,10347,28777,27887,28903,21735,27597,33496,16444,23707,12826,13385
2호선,잠실(송파구청),101659,64875,138808,136700,134742,124924,166821,186474,104028,120817,104926,69962
2호선,잠실나루,33832,21804,38834,34886,28677,20531,26645,35719,12315,25445,9094,13957
2호선,잠실새내,46493,14585,60066,26341,30703,45601,35365,71685,25107,48146,22526,25426
2호선,종합운동장,14604,10147,19457,17474,11969,15184,14623,24434,8012,14830,5531,8118
2호선,충정로(경기대입구),14020,18491,19683,55095,22147,12882,44510,19092,13028,13422,7788,8001
2호선,한양대,4487,9687,7545,24073,24888,5943,21193,7804,9972,5022,6922,3729
2호선,합정,40143,30591,50971,85542,61345,56182,100126,84546,62548,55733,44609,27530
2호선,홍대입구,52333,29156,66634,87785,105106,97059,133286,131645,94954,85812,86088,43003
3호선,가락시장,17251,12003,20064,27405,17514,13995,26569,20345,10705,14281,7572,9255
3호선,경복궁(정부서울청사),12485,36942,17676,94169,52213,20071,87509,24846,33548,16060,24529,8215
3호선,경찰병원,19827,8445,22130,28454,13322,11789,19418,19134,6280,14676,4859,8759
3호선,고속터미널,22046,40459,35342,63872,100149,73193,105728,86859,82736,52931,94920,30769
3호선,교대(법원.검찰청),6879,19314,10557,45086,36684,9348,62120,12485,24389,6741,17568,3310
3호선,구파발,75622,21172,70616,26730,31860,35445,27633,64828,16843,54035,14054,28659
3호선,금호,23633,4758,31122,8549,9856,17852,10199,28868,6901,19543,5244,12481
3호선,남부터미널(예술의전당),24159,54690,34423,144825,78918,39576,124210,49940,55303,31291,35616,18066
3호선,녹번,58950,7555,69157,17503,14233,30016,17493,55978,8494,47238,6492,25196
3호선,대청,23133,12615,27490,25620,20137,15394,23712,23232,9114,19584,6239,11637
3호선,대치,20127,20028,19996,26693,24601,21380,25833,24754,15579,18396,11216,9712
3호선,도곡,7524,11938,9704,20212,14209,6700,17105,9483,8254,7803,5297,4174
3호선,독립문,14079,12132,17186,18613,11807,11994,14409,16037,6596,12385,4339,7067
3호선,동대입구,5001,13177,7037,42078,29980,7193,28291,9431,12844,6369,8360,3562
3호선,매봉,14313,22303,17462,66104,34394,14174,62172,20372,21586,13955,12880,7374
3호선,무악재,13190,2752,14489,5550,5324,8316,6142,14624,2697,11458,2040,6511
3호선,불광,46716,10309,56241,30431,24916,34177,27396,53811,15130,43425,11418,24755
3호선,수서,30585,30013,37389,47211,36609,29417,44793,42825,20422,31435,18892,19765
3호선,신사,9011,41483,15811,107225,79590,39146,124733,51581,83653,25834,51939,10884
3호선,안국,5427,75223,7334,87359,79916,15173,89690,15464,34057,8148,25352,4253
3호선,압구정,13653,44406,19668,130086,84518,40074,124023,45774,88183,24903,67558,11783
3호선,약수,22636,13043,34646,32148,22065,24155,30746,37366,15222,23837,11779,14770
3호선,양재(서초구청),31044,99520,40861,223213,110946,45657,189925,62304,79363,43515,49967,24428
3호선,연신내,120495,19247,144431,33448,45377,74481,43444,126208,29166,109374,22609,57540
3호선,오금,22512,5027,26320,12522,8824,11259,10784,19855,4078,14283,2958,8401
3호선,옥수,19699,8227,26389,13934,14727,20471,15933,30465,9916,22602,7698,13675
3호선,을지로3가,1783,30280,2992,69174,34689,9055,61095,10074,23775,5117,13800,2115
3호선,일원,19005,26205,18380,23442,29813,11344,15030,16665,7928,13752,5163,8318
3호선,잠원,10093,6988,13403,9540,9192,8220,8343,12691,5124,8935,3537,5109
3호선,종로3가,1506,14656,1954,42664,27152,11166,48144,10350,29210,5292,14260,2063
3호선,지축,17822,3345,17550,3413,6296,7613,4092,15942,2253,12661,1357,7853
3호선,충무로,0,0,2,0,0,0,6,0,5,0,1,0
3호선,학여울,3153,3021,3494,7047,3987,2626,6076,3853,2596,2989,1881,1680
3호선,홍제,55881,10667,63430,21782,23133,34218,22869,56808,12330,45303,9103,24676
4호선,길음,72177,10996,78293,23254,24133,40717,23890,71965,14929,56050,10837,30375
4호선,남태령,2200,2801,2626,3510,3055,1587,3108,1763,1190,1372,859,877
4호선,노원,49421,11921,52348,27939,27562,44489,29774,72736,20915,58022,22235,29576
4호선,당고개,50977,8108,49680,13189,15807,24651,15000,37571,10394,34904,6601,21554
4호선,동대문,5147,37459,7301,76497,81760,13520,64990,9580,27726,12245,18476,8964
4호선,동대문역사문화공원(DDP),5668,25202,7344,62814,45321,12604,64953,14126,31724,20646,22539,9686
4호선,동작(현충원),4146,3808,4821,5427,4884,4132,5514,6167,2993,4551,2719,2925
4호선,명동,3517,37818,4741,98020,49154,16541,93704,16596,37927,9640,29665,4629
4호선,미아(서울사이버대학),43987,11121,51063,28379,19403,28862,23498,45242,13580,36625,8635,21702
4호선,미아사거리,85621,16039,97082,31552,36321,60367,38650,96881,27161,74489,26505,41187
4호선,사당,60810,19064,76047,29951,33069,44315,39389,69126,24787,45629,20627,25564
4호선,삼각지,5607,10101,9014,23274,11997,8269,21308,12379,7912,8141,5569,4436
4호선,상계,80472,12584,71302,18851,20063,37148,20322,61989,13384,59051,9563,32322
4호선,서울역,10623,27686,12664,66228,30924,20843,49887,24174,16590,16488,9759,10410
4호선,성신여대입구(돈암),41300,14702,51046,29822,33977,39503,38774,59451,24176,44785,21146,24713
4호선,수유(강북구청),102867,19666,117530,53364,47672,68990,53791,117309,31097,99294,23616,56021
4호선,숙대입구(갈월),14625,19017,22490,44590,28290,19278,43340,27577,19774,18288,13504,10723
4호선,신용산,9645,29153,14656,76574,44774,20420,74528,26480,35263,16250,23254,8340
4호선,쌍문,112934,13970,122072,27160,30448,59398,30752,99785,18971,92118,13746,52488
4호선,이촌(국립중앙박물관),11038,12543,14610,24714,18505,12632,22607,18605,9109,12847,6938,7419
4호선,창동,84129,17162,73639,35940,35895,56035,37296,88174,22176,74973,17309,40662
4호선,총신대입구(이수),41258,16168,53055,40862,30851,43857,40923,66699,23504,43249,19756,22805
4호선,충무로,8043,54001,11479,165244,77423,22032,139871,25347,60039,14667,36675,7895
4호선,한성대입구(삼선교),27443,14614,35297,24518,23839,24307,26209,35249,13851,26713,10869,15706
4호선,혜화,16022,46293,20311,109290,83415,42230,101377,51538,49078,37080,44882,13591
4호선,회현(남대문시장),4313,48104,7232,117120,82105,13750,104575,12030,38494,6989,36890,3759
5호선,강동,50502,26690,61882,47046,35277,30252,42731,49671,18594,38402,13119,23083
5호선,강일,11199,2922,12904,4199,4537,6921,4398,11305,1757,11774,1226,6330
5호선,개롱,21779,8066,18942,15899,10070,13044,12764,18063,5882,18745,4498,9062
5호선,개화산,20162,5293,17469,10991,8260,9079,10138,14224,4579,14238,3077,7999
5호선,거여,30553,8424,28160,17890,14136,15486,14233,23600,6219,22752,4271,10510
5호선,고덕,27854,12049,22407,18043,17401,15409,14835,25700,7931,24346,6107,11507
5호선,공덕,18845,28941,25464,73721,32978,19319,61808,35545,22719,18978,15075,9803
5호선,광나루(장신대),35538,14093,40775,26223,20346,20962,25727,35684,12667,24727,8251,15638
5호선,광화문(세종문화회관),7761,69655,12293,230837,81257,24592,186094,30738,63351,14737,41231,6557
5호선,군자(능동),30950,7293,42908,22617,16784,25812,21940,46859,12448,32041,9775,16874
5호선,굽은다리(강동구민회관앞),32561,6152,35472,14659,12730,18038,13977,34028,7617,25533,5818,14252
5호선,길동,20142,6594,25377,16836,13754,16488,16409,25202,7928,19206,5891,10839
5호선,김포공항,4761,13510,7004,16465,19227,15328,25273,14035,15803,9137,14974,4267
5호선,까치산,112411,10761,140415,20838,26907,62342,27405,114691,17163,93543,13608,53653
5호선,답십리,51682,13244,68830,33250,22511,27553,30345,53652,15617,38148,9519,19929
5호선,동대문역사문화공원(DDP),1004,8575,1728,26689,9548,2071,18744,2424,6909,1444,3320,808
5호선,둔촌동,22271,9586,25673,19768,16381,17334,19508,25631,9168,20310,6655,9269
5호선,마곡,21864,11646,20821,42968,24675,13072,36685,20480,14622,17583,9727,8740
5호선,마장,14299,6116,18819,13801,8682,9063,10835,14341,6246,10322,3768,6042
5호선,마천,28156,4348,24099,10482,7280,12134,8629,21052,3833,19224,3082,9364
5호선,마포,21771,22226,29509,66424,32991,19990,54408,33703,20361,20631,13863,10703
5호선,명일,32598,6038,28872,10489,9957,16912,11119,31935,6627,28712,4519,12513
5호선,목동,52387,13897,61935,27483,23230,38926,27052,70941,13991,51746,11444,26322
5호선,미사,57389,9857,54449,19375,21164,27659,21474,51908,11612,56704,11066,25302
5호선,발산,24009,31241,24261,91837,51329,25564,73707,37779,32239,27999,22846,13559
5호선,방이,17381,7604,15534,22606,12097,13429,18617,19056,8706,14293,6727,7832
5호선,방화,25407,5178,22133,12657,8605,11583,9805,19038,4250,18887,3241,10654
