사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201911,8호선,암사,10,0,14528,879,24786,6754,84777,9091,115065,19640,57954,15019,33044,12095,27705,13391,27438,17290,26914,19584,23114,22211,21435,28612,23192,33770,25690,44937,26043,72284,15494,62743,11141,37055,9646,35683,6582,32482,2878,21081,655,5392,1,927,0,0,0,0,20191203
201911,8호선,잠실(송파구청),14,0,1536,2079,4061,10636,8906,29840,14684,78858,12590,49374,10991,30212,13797,34378,17041,34186,21592,35781,26312,34413,32102,34772,38190,35596,49602,39693,72353,48764,45881,30247,41873,14658,37911,11178,31186,8127,10987,4407,1597,1681,1,86,0,0,0,0,20191203
201911,8호선,장지,3,0,5149,1893,17163,9391,55035,19977,68064,54076,38402,37125,25009,24219,23213,23611,25016,27941,26818,27286,25354,27838,29447,30203,36715,32971,42799,40061,60494,59181,33209,46513,25129,26966,27132,24202,19491,22947,5666,14482,968,4666,0,0,0,0,0,0,20191203
201911,8호선,천호(풍납토성),77,0,11885,1764,18944,11425,50496,19314,72453,34046,44166,31900,26384,23617,24396,23263,26687,25468,27891,30024,25663,30448,27105,36763,29421,42001,36352,55897,43014,83483,27377,66506,23138,36643,18138,33776,15425,29515,7498,18517,1599,6248,0,319,0,0,0,0,20191203
201911,9호선,가양,75,0,15019,1863,26029,9112,78397,26068,89415,44265,49162,28695,36760,21217,33702,19440,37050,20276,33118,28049,29830,28504,31468,32105,34756,38411,43272,46047,47357,71122,24221,68574,16987,42682,15188,36936,11717,38557,4742,26432,842,8603,0,278,0,0,0,0,20191203
201911,9호선,개화,15,0,2436,208,7393,2664,15653,3548,10557,6169,5493,2750,4289,2350,3557,2507,3454,2363,3084,2440,3131,2461,3679,3092,4889,3160,7022,3800,7585,5990,3308,6444,2184,4131,1606,2917,673,2898,334,1989,122,925,1,97,0,0,0,0,20191203
201911,9호선,고속터미널,12,1,2169,1520,4984,16157,14929,23117,22410,33190,18107,36096,15493,38501,17957,45069,22353,45117,26214,46379,28997,49238,33159,51045,37629,53691,39603,56745,39577,62002,34853,42238,32520,27987,27358,22118,20641,19852,7730,12174,1011,2453,2,50,0,0,0,0,20191203
201911,9호선,공항시장,3,1,3037,295,4878,1345,9119,1887,10588,4061,6712,3751,4981,3746,4573,3573,5347,3540,5259,4356,4735,5049,4985,5513,5162,7091,5048,7950,4879,10865,3070,11000,2768,6765,2171,6490,1716,6337,921,4729,174,1777,0,121,0,0,0,0,20191203
201911,9호선,구반포,3,0,648,176,1827,2128,4618,3409,6756,6791,4947,6181,4001,5496,4306,5925,5434,6178,6719,6923,6886,6413,6904,5979,7408,7605,8085,7939,9873,9866,5977,7729,4471,4493,4686,3848,4238,3652,1171,2164,185,789,0,49,0,0,0,0,20191203
201911,9호선,국회의사당,7,0,1234,1893,2206,11064,4110,43062,7300,146865,8162,71648,10226,29909,14492,24621,19559,25922,22995,27023,27809,21157,32465,16534,38476,15857,73144,20220,124040,19683,46887,10206,30516,5900,32973,4679,21696,4058,6488,2551,1002,980,1,2,0,0,0,0,20191203
201911,9호선,김포공항,27,0,1861,2995,4216,14945,10556,20519,14339,24432,11751,21060,10893,22234,13067,24510,13574,27066,16061,28586,18498,27819,22121,26271,19395,30439,23973,34769,30244,37891,21921,25264,20579,10273,18140,6475,19546,5094,6161,3453,286,2194,0,196,0,0,0,0,20191203
