from,to,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
경찰병원,오금,3,41999,15694,47885,38264,21445,21592,30401,32867,12211,28244,8341,18206
당고개,상계,4,106104,19295,97637,23077,29177,48953,29438,70534,18631,70746,13360,45194
상계,노원,4,106731,39199,114610,83176,88585,116370,95730,166678,66696,148279,67624,84385
노원,창동,4,117138,23494,102768,49936,53884,77599,58222,111194,32781,105043,25360,67549
창동,쌍문,4,148952,17049,161227,33099,45760,76111,43836,116154,29764,118286,20517,75693
쌍문,수유(강북구청),4,138027,24157,155706,65156,67381,90740,77301,142614,48104,136526,35855,86850
수유(강북구청),미아(서울사이버대학),4,60004,21425,67590,41651,33780,38969,35257,53867,21683,49154,14604,30492
미아(서울사이버대학),미아사거리,4,109998,23856,124143,39780,53842,78620,55709,116041,41122,102386,38810,61759
미아사거리,길음,4,98475,17663,105454,43128,48593,54857,47393,79974,28471,73854,20322,45594
길음,성신여대입구(돈암),4,60612,25353,77228,61793,66904,66929,73500,92577,49631,79689,42720,48695
성신여대입구(돈암),한성대입구(삼선교),4,38095,22600,49531,44575,40679,37485,42221,46058,26286,38427,23255,25304
한성대입구(삼선교),혜화,4,20036,53777,28688,142687,132229,94352,154400,113052,96869,86733,93170,32019
혜화,동대문,4,25822,59420,35959,124341,141722,63299,134275,59317,76336,65494,55852,46316
동대문,동대문역사문화공원,4,20577,69764,33631,190741,142582,80547,202205,94219,122924,111993,92796,71107
동대문역사문화공원,충무로,4,12708,56447,20253,218291,108402,51239,181066,55676,98541,35965,70702,21020
충무로,명동,4,7480,56951,17054,147707,115758,99537,163830,94283,112702,70603,101917,45054
명동,회현(남대문시장),4,7436,57963,12179,178130,143572,35245,148332,28500,70502,17358,67793,10452
회현(남대문시장),서울역,4,87948,200290,157041,432584,285787,197502,432083,205334,235908,157095,171212,116898
서울역,숙대입구(갈월),4,20509,26436,32323,70708,45554,32330,66688,44002,35707,31147,27879,19796
숙대입구(갈월),삼각지,4,14299,24755,22103,56992,38346,22270,57242,28709,25606,20738,19377,14186
삼각지,신용산,4,12253,33470,18858,107626,54598,30680,100506,38960,48195,25814,35193,15448
