"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201910","2호선","을지로3가","14","1","1314","1872","2758","18913","6780","65215","12988","164561","17742","86944","21803","44434","25642","35630","27374","31878","33044","35270","37550","31531","42214","28952","49613","31377","80988","36635","146573","44959","70165","28921","51239","16302","51218","13046","41763","11388","24984","7812","4045","1852","1","84","1","0","0","0","20191103"
"201910","2호선","을지로4가","13","0","916","1344","2136","11169","3971","30701","7534","82723","11938","45435","14915","29270","17346","28978","20795","27519","23468","26341","27356","26039","31454","23993","34955","20697","53891","19384","79209","17338","38259","11087","20924","7015","16715","6749","11468","6140","5724","4573","1144","1250","1","24","0","0","0","0","20191103"
"201910","2호선","을지로입구","139","1","3460","2748","4216","27099","10274","125164","18612","354746","27453","174050","35553","99745","45901","109230","53290","87204","71131","89012","86093","78573","103629","74322","116961","73051","164731","76184","323559","85325","162553","52377","148188","31752","125604","25391","86316","21086","41336","12993","4513","4580","9","1059","0","0","0","0","20191103"
"201910","2호선","이대","52","2","3619","2022","7309","16895","19534","21968","29700","50911","21645","74507","19312","61668","25866","46341","38691","49707","42723","49913","41034","39987","51657","39127","62875","38574","73823","41953","62115","49770","41609","36924","34530","21567","39422","20006","30049","20245","10709","15788","1432","4306","0","78","1","2","0","0","20191103"
"201910","2호선","잠실(송파구청)","100","1","14886","6452","53350","46585","130747","103159","196249","224415","146784","206392","104010","132929","103216","137674","114744","136062","126737","141800","133493","139865","151688","153924","173987","168546","220883","193098","296918","264756","218778","193511","205270","120261","191935","110652","143211","109397","48611","60312","4955","14086","4","248","0","0","0","0","20191103"
"201910","2호선","잠실나루","7","1","3431","1788","13049","10875","45318","24266","58145","45042","35976","33249","29150","24970","29322","22029","31559","26363","27180","27561","28212","26319","29698","25830","35875","26798","39784","31844","38685","46719","21289","38790","16532","24331","12351","22520","8037","22861","3980","13070","659","4321","0","70","0","0","0","0","20191103"
"201910","2호선","잠실새내","51","2","6167","965","18617","8452","67113","19348","95186","33742","58437","36708","39285","27509","37400","29720","42086","34786","39510","39842","34717","40664","36498","45922","42663","54049","44943","67661","50202","99840","37629","80194","33045","48049","34036","42012","34446","41089","20169","22302","3426","7364","0","235","0","0","0","0","20191103"
"201910","2호선","종합운동장","20","0","2171","1441","7422","15253","21187","37411","31981","50920","24062","38520","18236","30530","21366","27133","23662","36276","25462","47907","25673","37080","28385","41980","33928","55370","51115","68237","35287","63576","25804","33799","31676","18531","58009","17925","93216","17986","10857","8945","658","2677","4","135","2","1","0","0","20191103"
"201910","2호선","충정로(경기대입구)","42","0","4001","1041","7597","6819","18633","19379","26917","73599","18055","37337","14332","17669","15950","15277","16116","14059","17931","17116","18176","16450","18803","16073","22452","17313","28598","20115","59998","26283","20535","20751","13654","13373","12797","14000","9225","13080","4173","9344","742","2770","1","41","0","0","0","0","20191103"
"201910","2호선","한양대","5","0","1420","469","2712","7516","6737","16774","10469","71026","8968","68567","9591","58390","13642","24537","18603","37293","20983","29889","24570","24869","31628","16541","46038","14686","54547","17756","44293","23915","23515","13193","21484","7902","26736","7439","18952","6964","11035","5053","2408","1726","1","6","0","0","0","0","20191103"
